Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
203	I11	272	152	112	6	3515	235	1536	20.22	95310	45.53	5051	94.63	0.6875	1.055	2999	189.9	1999	27.02	103600	51.43	4998	77.48	0.6645	1.039	4394	304.9	991.6	12.05	86010	38.46	5386	116.3	0.7589	1.054	1344	149.3	330.3	4.13	73350	36.32	1674	153.4	0.1667	1.167	NA
204	I12	182	84	91	1	4437	294.9	1575	20.1	98830	46.08	6011	115.4	0.7582	1.187	5082	300.3	1899	24.08	116800	53.83	6981	105.6	0.75	1.179	4109	308.3	1332	17.19	80390	38.93	5441	131.7	0.7692	1.165	0	0	0	0	7403	6.159	0	0	0	0	NA
205	I13	273	140	87	24	3544	215.1	1304	15.03	86540	38.74	4849	86.67	0.8278	1.286	2859	160.6	1655	19.78	90420	40.27	4514	71.9	0.5857	1.293	4901	326	796.4	8.978	85900	38.06	5697	118	1.218	1.287	3835	222.2	911.3	9.787	56750	26.44	4746	92	0.875	1.333	NA
206	I14	623	330	264	18	5700	284.7	1929	23.55	135500	56.58	7629	153.2	1.352	1.014	2543	165.1	2844	34.56	141600	60.85	5387	95.09	0.6606	1.067	9924	444.9	922.8	11.2	130900	52.31	10850	230.3	2.273	0.9242	4105	253.1	353	4.573	40440	26.92	4458	159	1	1.056	NA
207	I15	338	198	128	7	4349	227.4	1267	16.71	138000	50.27	5616	135.9	1.189	0.9379	2687	159.5	1827	23.94	164100	59.04	4514	90.15	0.7424	1.03	7052	341	485.6	6.618	103900	38.46	7538	215.1	1.883	0.8047	616.3	46.5	85	2.078	26730	15.72	701.3	12.52	0.2857	0.4286	NA
208	I16	462	231	207	9	5012	233.2	1184	14.96	125700	55.18	6196	140.5	1.615	0.8203	3038	164	1917	23.77	152600	67.22	4955	101.3	0.9437	0.8182	6726	297	423.9	5.994	98140	43.02	7150	178.7	2.174	0.8116	9382	505.8	419.1	5.926	107400	40.46	9801	240.4	2.889	0.8889	NA
209	I17	219	108	96	8	3901	191.3	1565	19.55	97440	49.31	5466	99.86	1.187	1.068	3397	171.9	2440	30.63	123000	57.38	5837	101.3	0.8519	1.102	4196	208.2	611.2	6.841	62450	36.27	4807	100.1	1.5	0.9896	4517	155.6	467.9	6.355	55630	22.07	4985	61.26	1.25	1.5	NA
210	I18	390	185	156	29	2120	121.7	1101	13.83	81400	35.55	3221	59.25	0.6026	1.028	1115	74.28	1648	20.85	98310	41	2763	38.2	0.3514	1.097	3595	197.6	606.8	7.759	59150	31.2	4202	89.79	0.9231	0.9808	799.2	40.45	705.1	8.017	64890	22.44	1504	42.69	0.3103	1.069	NA
211	I19	600	310	266	16	5927	274.6	1156	15.17	131500	55.13	7083	140.5	1.393	0.9917	3610	194.1	1776	23.41	154900	61.96	5386	95.15	0.7774	1.084	8350	356.2	492.2	6.308	110300	48.13	8842	188.5	2.105	0.8872	12790	574.7	632.9	8.414	65400	37.1	13420	257.2	1.75	1.125	NA
212	I20	341	191	114	24	4801	203.8	1012	12.34	101400	44.51	5812	109.6	1.994	1.044	4679	218.1	1265	15.38	123800	52.27	5944	112.4	1.848	1.073	4964	183.9	688	8.004	72890	36.13	5652	108.1	2.149	0.9825	4517	149.2	606.4	8.318	68390	26.26	5123	57.98	2.333	1.333	NA
