Object.ID	Circularity.Factor	Mean.Intensity.EGFP	Mean.Intensity.mCherry	Area	Position	P.bodies..Counts	P.bodies.nuc..Counts	total_intensity_DCP1A_P.bodies	mean_intensity_DCP1A_P.bodies	total_intensity_DCP1A_P.bodies.nuc	mean_intensity_DCP1A_P.bodies.nuc	total_intensity_DCP1A_cytoplasm	mean_intensity_DCP1A_cytoplasm	total_intensity_P.bodies_all	mean_intensity_P.bodies_all	P.bodies_count	P.bodies.nuc_count	Parent.Object.ID..Well.	Parent.Trace.ID	black	green	nuclei	red
104894	1.1364747	356.48013	228.65343	1812	6	1	1	824	82.4	192	4.9230769	37014	23.988334	1016	21.166667	1	1	183	-1	0	0	1	1
116075	1.0183066	446.93002	175.95445	1515	5	0	0	0	0	0	0	28748	24.445578	0	0	0	0	192	-1	0	1	1	0
210191	1.1667369	268.92758	222.95905	3052	5	0	3	0	0	2629	15.196532	57643	32.311099	2629	15.196532	0	3	373	-1	0	0	0	0
169529	1.1131215	369.26318	213.39001	2523	8	1	2	3004	231.07692	1000	13.888889	49145.999	41.826382	4004	47.666667	1	2	269	-1	0	0	0	0
15350	1.0669574	603.28217	175.11478	1577	4	1	0	1715	285.83333	0	0	460725.97	156.86958	1715	285.83333	1	0	44	-1	0	1	1	0
49631	1.0253338	352.26868	193.07339	1526	8	0	1	0	0	451	6.4428571	271427	88.846809	451	6.4428571	0	1	78	-1	0	0	1	0
150506	1.0787079	394.13937	198.69658	3042	1	1	2	1881	125.4	4675	37.701613	81328.999	43.678302	6556	47.507246	1	2	249	-1	0	0	0	0
123604	1.0817819	330.18216	182.77504	1378	1	2	1	14313	954.2	848	18.434783	41140.001	23.441596	15161	252.68333	2	1	206	-1	0	1	1	0
44982	1.078932	251.72733	192.53062	1698	8	3	1	12538	501.52	153	5.4642857	74640	36.374269	12691	244.05769	3	1	89	-1	0	0	1	1
85743	1.0292418	434.1492	192.96495	2225	3	0	0	0	0	0	0	477562	97.621014	0	0	0	0	146	-1	0	1	1	0
96724	1.0949378	360.5972	190.97208	931	9	0	2	0	0	1564	8.7865169	22055	25.556199	1564	8.7865169	0	2	165	-1	0	1	1	0
216286	1.0180217	342.8631	191.01126	1154	8	0	1	0	0	488	7.2835821	17743	14.228548	488	7.2835821	0	1	361	-1	0	0	1	0
22593	1.0818818	747.2749	192.97112	1073	1	0	1	0	0	2366	50.340426	209656	160.04275	2366	50.340426	0	1	28	-1	0	1	1	0
87782	1.0248929	327.79727	241.20273	1983	9	0	0	0	0	0	0	347780	98.773076	0	0	0	0	149	-1	0	0	1	1
179660	1.0240791	246.44592	173.66223	1128	8	1	1	1553	388.25	277	7.1025641	61760	24.172211	1830	43.571429	1	1	308	-1	1	0	1	0
207691	1.085205	235.41858	202.9682	1572	7	1	1	4081	371	233	4.66	27787	21.473725	4314	71.9	1	1	379	-1	0	0	1	1
40640	1.1434204	281.48279	239.6436	2674	6	0	0	0	0	0	0	16715.001	11.729825	0	0	0	0	71	-1	0	0	0	0
93669	1.0607631	234.54504	227.1937	222	9	2	0	7528	470.5	0	0	20491	36.460854	7528	470.5	2	0	160	-1	0	0	0	0
177221	1.0680204	345.38089	176.57631	1612	1	0	0	0	0	0	0	30061	23.159476	0	0	0	0	303	-1	0	1	1	0
104429	1.1163979	241.59877	152.44444	324	8	3	0	3326	195.64706	0	0	48679	214.44493	3326	195.64706	3	0	184	-1	0	0	0	0
